,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4760,11051931.0,A Toca de Santa,57358522,Pedro,Unknown,Santa Teresa,-22.92452,-43.19236,Shared room,90,2,8,02/01/2022,0.1,5,365,1,Unknown
4762,11540819.0,Quarto p/ Rock in Rio camorim perto park olimpico,50893268,Adriana,Unknown,Jacarepaguá,-22.96538,-43.40643,Shared room,120,4,2,06/10/2019,0.03,11,355,0,Unknown
4815,11232006.0,Shared Room in Rio,55248222,Filipi E Jessica,Unknown,Santa Teresa,-22.91857,-43.18098,Shared room,50,2,18,25/04/2022,0.24,5,337,6,Unknown
4850,11266507.0,Apartamento Conjugado em Copacabana,58739989,Suetlana,Unknown,Copacabana,-22.9671,-43.18598,Shared room,10000,1,0,No_reviews,0.0,1,365,0,Unknown
4968,11452417.0,Hospedagem perto do Parque Olimpico,16067009,Mirella,Unknown,Recreio dos Bandeirantes,-23.0207,-43.45358,Shared room,4000,1,0,No_reviews,0.0,1,365,0,Unknown
5068,11539079.0,Camorim quarto Rock in Rio perto do Park Olimpico,50893268,Adriana,Unknown,Jacarepaguá,-22.96606,-43.40512,Shared room,120,4,2,07/10/2019,0.03,11,361,0,Unknown
5069,11539344.0,Quarto camorim Rock in Rio perto park olimpico,50893268,Adriana,Unknown,Jacarepaguá,-22.9641,-43.40589,Shared room,120,4,2,06/10/2019,0.03,11,359,0,Unknown
5070,11540213.0,Casa camorim Rock in Rio perto do parque olimpico,50893268,Adriana,Unknown,Jacarepaguá,-22.96616,-43.40643,Shared room,120,4,2,06/10/2019,0.03,11,360,0,Unknown
5071,11540547.0,Quarto no camorim Rock in Rio perto park olimpico,50893268,Adriana,Unknown,Jacarepaguá,-22.96451,-43.40664,Shared room,120,1,2,07/10/2019,0.03,11,357,0,Unknown
5147,12318875.0,ROCK IN RIO 22,16613801,Ale,Unknown,Copacabana,-22.96903,-43.18878,Shared room,98,2,4,16/01/2022,0.06,6,359,3,Unknown
5262,12055898.0,"Quarto compartilhado, Rochar",64571662,Gabriel,Unknown,Jacaré,-22.89419,-43.25261,Shared room,150,1,1,29/05/2016,0.01,1,179,0,Unknown
5301,12408180.0,Patricia Rangel,67101774,Patricia,Unknown,Pechincha,-22.93613,-43.36259,Shared room,7500,1,0,No_reviews,0.0,1,89,0,Unknown
5438,12525002.0,☮︎ Comfortable Hostel ⚔︎ Safe & Central Location ✌,67850207,Tupiniquim Hostel,Unknown,Botafogo,-22.95365,-43.1876,Shared room,56,1,48,16/06/2022,0.67,12,179,30,Unknown
5500,12932572.0,Vagas para mulheres e temporadas,71008004,Paula,Unknown,Rocha,-22.90168,-43.2459,Shared room,413,1,0,No_reviews,0.0,1,365,0,Unknown
5671,13129803.0,...,28691331,Fortunato,Unknown,Jacarepaguá,-22.96596,-43.38699,Shared room,2323,5,0,No_reviews,0.0,1,358,0,Unknown
6040,13587162.0,Tour e Passeios fotograficos pelo Rio,16613801,Ale,Unknown,Copacabana,-22.96672,-43.18961,Shared room,90,2,0,No_reviews,0.0,6,358,0,Unknown
6162,13717872.0,CARNAVAL2022 - URCA-RJ,14743853,Carlos,Unknown,Botafogo,-22.95534,-43.17274,Shared room,75,5,2,02/01/2020,0.03,6,358,0,Unknown
6167,13639621.0,Passeios Fotograficos Rio,16613801,Ale,Unknown,Copacabana,-22.96669,-43.18773,Shared room,88,2,3,26/09/2017,0.04,6,358,0,Unknown
6172,13620843.0,Just 5 minutes from the Maracana Stadium,78883880,Carlos Eduardo,Unknown,Vila Isabel,-22.91711,-43.24885,Shared room,181,5,0,No_reviews,0.0,1,358,0,Unknown
6301,13844573.0,"""Sala aconchegante Copacabana Posto 5""",2306711,Denize,Unknown,Copacabana,-22.97993,-43.19039,Shared room,80,5,16,24/04/2022,0.3,1,341,3,Unknown
6411,13809665.0,I share my apartment during Rio2016,81270065,Ronaldo,Unknown,Laranjeiras,-22.93188,-43.18266,Shared room,272,1,3,24/08/2016,0.04,1,363,0,Unknown
6426,13814774.0,Apartamento a um pulo do Parque Olímpico!,70087137,Iasmin,Unknown,Jacarepaguá,-22.96627,-43.39574,Shared room,500,15,0,No_reviews,0.0,1,365,0,Unknown
6431,13697756.0,01 cama em quarto triplo BOTAFOGO,79873285,Conceição,Unknown,Botafogo,-22.9452,-43.18486,Shared room,981,1,7,13/02/2018,0.1,1,180,0,Unknown
6452,13879281.0,Quarto para Olimpíada em Duplex,66503486,Gian,Unknown,Recreio dos Bandeirantes,-23.00552,-43.45827,Shared room,1033,1,0,No_reviews,0.0,1,365,0,Unknown
6455,13893452.0,Room for 2 people!,82298908,(Email hidden by Airbnb),Unknown,Pechincha,-22.9276,-43.35273,Shared room,258,10,0,No_reviews,0.0,1,89,0,Unknown
6460,13879989.0,Temporary rentals for Brazilian Cup.,82046629,Elizabeth,Unknown,São Cristóvão,-22.89993,-43.23033,Shared room,591723,6,0,No_reviews,0.0,1,365,0,Unknown
6637,13970188.0,Cozy,83289548,Santiago,Unknown,Rio Comprido,-22.92713,-43.20608,Shared room,350,1,0,No_reviews,0.0,1,365,0,Unknown
6752,14028129.0,Hospedagem para o Evento das Olimpíadas Rio 2016,83972459,Benedito Lucio,Unknown,Copacabana,-22.96488,-43.17608,Shared room,826,2,0,No_reviews,0.0,1,365,0,Unknown
6777,14030532.0,CARNAVALl 2022- RJ -Hospedagem na Urca,14743853,Carlos,Unknown,Botafogo,-22.95316,-43.1736,Shared room,100,5,2,02/01/2022,0.07,6,352,1,Unknown
6778,14030548.0,Carnaval 2022!  RESTAM POUCAS VAGAS!!!- Urca/RJ,14743853,Carlos,Unknown,Botafogo,-22.95256,-43.17416,Shared room,150,4,3,29/12/2021,0.07,6,365,1,Unknown
6796,14091569.0,Jogos Olímpicos | Quarto Compartilhado,64838230,Ethieny,Unknown,Freguesia (Jacarepaguá),-22.93795,-43.34028,Shared room,300,4,0,No_reviews,0.0,1,363,0,Unknown
6807,14092796.0,Excelentes quartos na Barra!,84785000,Mariana,Unknown,Barra da Tijuca,-22.99747,-43.38463,Shared room,5163,1,0,No_reviews,0.0,1,365,0,Unknown
6903,14137830.0,OLYMPICS WITH COMFORT! DOUBLE IN SHARED BEDROOM!,4818504,Christiane,Unknown,Maracanã,-22.91445,-43.23269,Shared room,100,2,0,No_reviews,0.0,5,177,0,Unknown
6904,14138086.0,OLYMPICS WITH COMFORT! SINGLE IN SHARED BEDROOM!,4818504,Christiane,Unknown,Maracanã,-22.91324,-43.23134,Shared room,80,2,0,No_reviews,0.0,5,177,0,Unknown
6993,14153501.0,Camorim Quarto Rock in Rio perto Park Olímpico,50893268,Adriana,Unknown,Jacarepaguá,-22.96293,-43.40104,Shared room,120,2,6,02/01/2022,0.08,11,357,1,Unknown
7048,14161533.0,Pousada dos pássaros QUARTO 3.,17175278,Elcio,Unknown,Brás de Pina,-22.82633,-43.2838,Shared room,60,1,6,22/04/2022,0.14,6,90,2,Unknown
7059,14162912.0,Alugo Vagas Compartilhadas,85663146,Bia,Unknown,Tijuca,-22.91841,-43.22029,Shared room,50,1,0,No_reviews,0.0,1,89,0,Unknown
7060,14162953.0,Pousada dos pássaros QUARTO 1,17175278,Elcio,Unknown,Brás de Pina,-22.82718,-43.28319,Shared room,70,1,4,01/01/2022,0.09,6,90,1,Unknown
7061,14163141.0,Pousada dos pássaros QUARTO 2,17175278,Elcio,Unknown,Brás de Pina,-22.82633,-43.283798,Shared room,80,1,4,02/01/2022,0.08,6,90,1,Unknown
7094,14222900.0,Tour pelo Rio,16613801,Ale,Unknown,Copacabana,-22.96786,-43.18907,Shared room,93,2,2,20/12/2020,0.07,6,358,0,Unknown
7104,14228531.0,Quarto  compartilhado e individual,86484443,Claudia,Unknown,Tijuca,-22.92952,-43.24822,Shared room,400,1,0,No_reviews,0.0,1,365,0,Unknown
7117,14168087.0,Acomod.próximas ao Parque Olímpico,85736001,Patrícia,Unknown,Vargem Pequena,-22.98641,-43.45498,Shared room,474,10,0,No_reviews,0.0,1,362,0,Unknown
