,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
4772,25574051.0,Londres 212- 404 Lujo Chica king,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42423,-99.16712,Hotel room,1150.0,1.0,3.0,09/03/2022,0.07,35.0,360.0,1.0
4779,25574102.0,Londres 212 -302 Lujo Grande King.,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42331,-99.16816,Hotel room,1350.0,1.0,0.0,No_reviews,0.0,35.0,360.0,0.0
4785,25574147.0,Londres 212 -304 lujo Chica cama king,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42407,-99.16732,Hotel room,1150.0,1.0,11.0,29/04/2022,0.28,35.0,359.0,2.0
4788,25574163.0,Londres 212 -504 Lujo Chica cama king,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42297,-99.16698,Hotel room,1150.0,1.0,2.0,14/04/2022,0.09,35.0,360.0,1.0
4794,25574472.0,LONDRES 212-PENTHOUSE804,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42253,-99.16868,Hotel room,1450.0,1.0,8.0,10/04/2022,0.18,35.0,360.0,3.0
4796,25576177.0,Londres 212-202 lujo Grande King.,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42331,-99.16816,Hotel room,1350.0,1.0,7.0,18/11/2019,0.17,35.0,360.0,0.0
4798,25577225.0,Londres 212 -205 Lujo Mediana King,171166310,Abdo,Unknown,CuauhtÃ©moc,19.42394,-99.16908,Hotel room,1250.0,1.0,4.0,27/06/2021,0.1,35.0,359.0,1.0
4817,25611198.0,"""El rinconcito de lupita""",164076299,Gio,Unknown,CoyoacÃ¡n,19.34173,-99.15865,Hotel room,450.0,1.0,1.0,24/06/2018,0.02,1.0,88.0,0.0
4905,26223778.0,Beautiful Master Apartment Polanco Area - Mexico,62271021,Grand Polanco,Unknown,Miguel Hidalgo,19.43264,-99.18951,Hotel room,3237.0,1.0,4.0,10/04/2022,0.51,4.0,336.0,4.0
4906,26224319.0,2 Beds Single Room Apartment with Beauty Balcony,62271021,Grand Polanco,Unknown,Miguel Hidalgo,19.43264,-99.18951,Hotel room,2844.0,1.0,3.0,27/03/2022,0.22,4.0,352.0,1.0
4908,26224456.0,Beautiful Single Room Apartment with Balcony,62271021,Grand Polanco,Unknown,Miguel Hidalgo,19.43264,-99.18951,Hotel room,2844.0,1.0,16.0,27/05/2022,2.04,4.0,356.0,16.0
4910,26224530.0,Beautiful Double Room Apartment Mexico City,62271021,Grand Polanco,Unknown,Miguel Hidalgo,19.43264,-99.18951,Hotel room,2844.0,1.0,11.0,28/05/2022,0.91,4.0,332.0,11.0
4923,26528745.0,CONDESA SUITES,198685892,Lorena,Unknown,CuauhtÃ©moc,19.416353,-99.175163,Hotel room,762.0,1.0,185.0,17/06/2022,3.97,3.0,67.0,64.0
5014,26386639.0,kA HabitaciÃ³n Suite,86392849,Susana,Unknown,CoyoacÃ¡n,19.33847,-99.17698,Hotel room,750.0,1.0,13.0,26/11/2021,0.29,5.0,171.0,3.0
5033,26423855.0,CONDESA SUITES EX,198685892,Lorena,Unknown,CuauhtÃ©moc,19.41718,-99.17406,Hotel room,864.0,1.0,129.0,16/06/2022,2.68,3.0,73.0,44.0
5035,26686678.0,RO habitaciÃ³n suite,86392849,Susana,Unknown,CoyoacÃ¡n,19.33937,-99.17681,Hotel room,800.0,1.0,41.0,03/06/2022,0.9,5.0,295.0,6.0
5246,27426950.0,HabitaciÃ³n para 2 personas en depto compartido.,175000876,Yovanni,Unknown,Iztacalco,19.40101,-99.08155,Hotel room,800.0,1.0,28.0,15/05/2022,0.6,2.0,274.0,10.0
5372,27778699.0,Suite familiar para vacaciones en Portal San Ãngel,110805631,Diana,Unknown,Ãlvaro ObregÃ³n,19.36071,-99.18928,Hotel room,1999.0,1.0,4.0,05/11/2021,0.1,15.0,356.0,1.0
5478,28537662.0,Hotel Boutique Paseo de la Reforma 1,215380324,Inmobiliaria,Unknown,CuauhtÃ©moc,19.42684,-99.16828,Hotel room,1700.0,1.0,15.0,13/02/2022,0.34,4.0,365.0,3.0
5676,28987591.0,"History, Luxury and Art @ Historic Center (SIPB)",4448934,John,Unknown,CuauhtÃ©moc,19.43646,-99.13123,Hotel room,1226.0,1.0,10.0,05/05/2019,0.23,35.0,0.0,0.0
