,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12484,33585347.0,Eco-pousada Estrelas da Babilônia. Quarto 2,37370842,Bibiana,Unknown,Leme,-22.96144,-43.16892,Private room,145,2,33,07/03/2022,0.86,5,243,5,Unknown
12488,34976203.0,SUITE NO RIO DE JANEIRO COM CAFÉ DA MANHÃ,240455483,Kátia,Unknown,Jacarepaguá,-22.93164,-43.39026,Private room,165,2,2,30/09/2019,0.06,1,332,0,Unknown
12502,34999200.0,charme e conforto na suíte em botafogo,12034952,Ciro,Unknown,Botafogo,-22.94915,-43.19226,Private room,250,2,8,13/04/2022,0.25,3,174,4,Unknown
12505,34677744.0,recanto dos beija flores,261554814,Helena,Unknown,Copacabana,-22.97776,-43.19037,Private room,200,1,8,04/03/2022,0.21,1,20,1,Unknown
12507,35006137.0,Suite Marambaia,263727677,Jorge,Unknown,Guaratiba,-23.06211,-43.56574,Private room,250,1,98,12/06/2022,2.93,1,361,34,Unknown
12523,35035499.0,Paradiso All,113226712,Promenade,Unknown,Barra da Tijuca,-23.00217,-43.34131,Private room,150,30,1,28/01/2020,0.03,2,365,0,Unknown
12524,35042226.0,Quarto para hospede do sexo feminino,263978771,Silnia,Unknown,Flamengo,-22.93199,-43.17473,Private room,200,2,0,No_reviews,0.0,1,364,0,Unknown
12533,35597292.0,Ritz Copacabana Boutique - STANDARD,98724176,Ritz Copacabana,Unknown,Copacabana,-22.97759,-43.18862,Private room,399,1,0,No_reviews,0.0,2,365,0,Unknown
12534,35597957.0,Ritz Copacabana Boutique - EXECUTIVE,98724176,Ritz Copacabana,Unknown,Copacabana,-22.97841,-43.19008,Private room,421,1,0,No_reviews,0.0,2,365,0,Unknown
12535,35599068.0,Quarto próximo ao metrô e shopping de Botafogo,15940255,Pedrita,Unknown,Botafogo,-22.94724,-43.18623,Private room,150,2,1,29/02/2020,0.04,1,361,0,Unknown
12547,35618507.0,Apartamento para o carnaval 5 dias.,16288879,Elaine,Unknown,Santa Teresa,-22.92108,-43.18335,Private room,800,1,1,06/10/2019,0.03,1,180,0,Unknown
12551,35114263.0,Aloha hostel Recreio ( Quarto familia ),524550,Dida,Unknown,Recreio dos Bandeirantes,-23.0303,-43.47572,Private room,100,2,5,07/03/2021,0.15,3,315,0,Unknown
12554,35646302.0,A melhor suíte de Copacabana!,85224275,Matheus,Unknown,Copacabana,-22.96949,-43.18493,Private room,57,2,140,19/06/2022,3.85,1,3,48,Unknown
12559,34778414.0,Grancopa,119994735,Anderson,Unknown,Copacabana,-22.97864,-43.18929,Private room,800,4,0,No_reviews,0.0,1,342,0,Unknown
12561,34778861.0,Excelente Quarto no Flamengo e ótima localização.,95759566,Maria Claudia Dos Santos Alves,Unknown,Flamengo,-22.936937,-43.177593,Private room,84,2,17,29/05/2022,0.46,1,156,7,Unknown
12563,35123930.0,"Recreio 
Condomínio c/ infraestrutura",104993246,Sheyla,Unknown,Recreio dos Bandeirantes,-23.01149,-43.45244,Private room,250,1,26,21/03/2020,0.74,1,339,0,Unknown
12566,34788520.0,Quarto flamboyan sandra,236012479,Sandra,Unknown,Jacarepaguá,-22.96131,-43.37106,Private room,200,10,0,No_reviews,0.0,1,363,0,Unknown
12567,34788535.0,Conjugado Curta temporada em Laranjeiras,262090753,Ingra,Unknown,Laranjeiras,-22.93211,-43.19119,Private room,60,1,0,No_reviews,0.0,1,365,0,Unknown
12568,35669682.0,Quarto - Casa de Vila no Catete,45716162,Gabriel,Unknown,Catete,-22.9283,-43.18051,Private room,165,1,2,01/03/2022,0.42,1,172,2,Unknown
12569,35147287.0,Hotel Royalty Barra - LUXO,261596112,Royalty Barra,Unknown,Barra da Tijuca,-23.01414,-43.3082,Private room,5000,1,1,03/07/2019,0.03,5,365,0,Unknown
12570,35675456.0,"Conforto,e bem família",268369122,Leidiane Alves Do Nascimento,Unknown,Centro,-22.91173,-43.18486,Private room,70,31,0,No_reviews,0.0,1,365,0,Unknown
12571,35678712.0,Super suíte high class e exclusiva em Copacabana,449677,Renato / Louri,Unknown,Copacabana,-22.97386,-43.1932,Private room,1929,3,0,No_reviews,0.0,6,179,0,Unknown
12572,35679990.0,Quarto individual para rapazes no Humaitá,266936281,Marcelo,Unknown,Lagoa,-22.96163,-43.20265,Private room,155,30,0,No_reviews,0.0,1,365,0,Unknown
12574,35147303.0,Hotel Royalty Barra - OCEAN,261596112,Royalty Barra,Unknown,Barra da Tijuca,-23.01426,-43.30605,Private room,5000,1,0,No_reviews,0.0,5,365,0,Unknown
